id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,5,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,TERTINGGAL,8,DESA,2019
1,4,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,SANGAT TERTINGGAL,0,DESA,2019
1,2,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,MAJU,24,DESA,2019
1,1,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,BERKEMBANG,249,DESA,2019
1,3,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2019,MANDIRI,0,DESA,2019
2,6,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2019,BERKEMBANG,89,DESA,2019
2,7,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2019,MAJU,60,DESA,2019
2,8,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2019,MANDIRI,3,DESA,2019
2,9,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2019,SANGAT TERTINGGAL,0,DESA,2019
2,10,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2019,TERTINGGAL,0,DESA,2019
3,11,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2019,BERKEMBANG,196,DESA,2019
3,12,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2019,MAJU,51,DESA,2019
3,13,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2019,MANDIRI,4,DESA,2019
3,14,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2019,SANGAT TERTINGGAL,0,DESA,2019
3,15,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,2019,TERTINGGAL,6,DESA,2019
4,16,35,JAWA TIMUR,3572,KOTA BLITAR,2019,BERKEMBANG,95,DESA,2019
4,17,35,JAWA TIMUR,3572,KOTA BLITAR,2019,MAJU,118,DESA,2019
4,18,35,JAWA TIMUR,3572,KOTA BLITAR,2019,MANDIRI,7,DESA,2019
4,19,35,JAWA TIMUR,3572,KOTA BLITAR,2019,SANGAT TERTINGGAL,0,DESA,2019
